summer_host_city,Continent
 Greece,Europe
 France,Europe
 United States,North America
 United Kingdom,Europe
 Sweden,Europe
 Belgium,Europe
 Netherlands,Europe
 Germany,Europe
 Finland,Europe
 Australia,Oceania
 Italy,Europe
 Japan,Asia
 Mexico,Noth America
 West Germany,Europe
 Canada,Noth America
 Soviet Union,Europe
 South Korea,Asia
 Spain,Europe
 China,Asia
 Brazil,South America
 Japan (postponed to 2021 due to the coronavirus pandemic),Asia
